Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,3120002057,12/3/2025 16:30,12/3/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.74,4205.99,-2.11,0,-2075,-209.61,-0.16,Strategy_0_59046Strategy_0_59046,1009,00:07:19:16,0,0s,2981,3333.33,0,0,-2981,-298.1,0,30.4,-2075,-207.5
,3119899043,12/3/2025 15:49,12/3/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.75,4205.99,-2.11,0,-2076,-209.71,-0.16,Strategy_0_281222Strategy_0_281222,1008,00:08:00:10,0,0s,2982,3333.33,0,0,-2982,-298.2,0,30.4,-2076,-207.6
,3119865509,12/3/2025 4:33,12/3/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.55,4205.99,-2.11,0,-2056,-207.71,-0.16,Strategy_0_38261Strategy_0_38261,1006,00:19:16:02,4.4,50m,4443,2.11,1481,148.1,-3127,-312.7,32.1,23.2,-3537,-353.7
,3119704869,12/2/2025 16:25,12/2/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.06,4207.86,-2.11,0,-1820,-184.11,-0.14,Strategy_0_38261,1006,00:07:24:40,0,0s,4122,5000,0,0,-4122,-412.2,0,55.8,-1820,-182
,3119630192,12/2/2025 16:25,12/2/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.06,4207.86,-2.11,0,-1820,-184.11,-0.14,Strategy_0_59046,1009,00:07:24:40,0,0s,4122,5000,0,0,-4122,-412.2,0,55.8,-1820,-182
,3119574073,12/2/2025 2:38,12/2/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.85,4207.86,-2.11,0,-1899,-192.01,-0.14,Strategy_0_201253,1020,00:21:11:51,0.4,5m,5828,69.44,83,8.3,-5745,-574.5,1.4,66,-1982,-198.2
,3119574070,12/2/2025 2:38,12/2/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.85,4207.86,-2.11,0,-1899,-192.01,-0.14,Strategy_0_41868,1010,00:21:11:51,0.4,5m,5828,69.44,83,8.3,-5745,-574.5,1.4,66,-1982,-198.2
,3119574064,12/2/2025 2:38,12/2/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.85,4207.86,-2.11,0,-1899,-192.01,-0.14,Strategy_0_78605,1004,00:21:11:51,0.4,5m,5828,69.44,83,8.3,-5745,-574.5,1.4,66,-1982,-198.2
,3119574063,12/2/2025 2:38,12/2/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.85,4207.86,-2.11,0,-1899,-192.01,-0.14,Strategy_0_49762,1005,00:21:11:51,0.4,5m,5828,69.44,83,8.3,-5745,-574.5,1.4,66,-1982,-198.2
,3119573988,12/2/2025 2:38,12/2/2025 23:50,XAUUSD,Buy,0.1,0,0,4226.85,4207.86,-2.11,0,-1899,-192.01,-0.14,Strategy_0_127373,1016,00:21:11:51,0.4,5m,5828,69.44,83,8.3,-5745,-574.5,1.4,66,-1982,-198.2
